name,X-CUASHI,Topic Category,EPSG code,Geography,,,,uri,Type/format,abstract,License
"GLDAS-1, 0.25 degree, 2002 June","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200206.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 July","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200207.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 August","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200208.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 September","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200209.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 October","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200210.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 November","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200211.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2002 December","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2002/GLDAS_NOAH025_M.A200212.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 January","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200301.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 February","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200302.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 March","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200303.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 April","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200304.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 May","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200305.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 June","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200306.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 July","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200307.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 August","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200308.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 September","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200309.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 October","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200310.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
"GLDAS-1, 0.25 degree, 2003 November","Physical temperature, flux wind/evaporation/discharge, energy flux","Climatology, inland waters",4326,90,180,-90,-180,ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS/GLDAS_NOAH025_M.020/2003/GLDAS_NOAH025_M.A200311.020.grb,grib file (.grb),"This data set contains a series of land surface parameters simulated from the Noah 2.7.1 model in the Global Land Data Assimilation System (GLDAS). The data are in 0.25 degree resolution and range from 2000 to the present. The temporal resolution is monthly. This simulation was forced by combination of NOAA/GDAS atmospheric analysis fields, spatially and temporally disaggregated NOAA Climate Prediction Center Merged Analysis of Precipitation (CMAP) fields, and observation based downward shortwave and longwave radiation fields derived using the method of the Air Force Weather Agency's AGRicultural METeorological modeling system (AGRMET). The simulation was initialized on 1 January 1979 using soil moisture and other state fields from a GLDAS/Noah model climatology for that day of the year. WGRIB or other GRIB reader is required to read the files. The data set applies a user-defined parameter table to indicate the contents and parameter number. The GRIBTAB file (http://disc.sci.gsfc.nasa.gov/hydrology/grib_tabs/gribtab_GLDAS_NOAH.txt) shows a list of parameters for this data set, along with their Product Definition Section (PDS) IDs and units.For more information, please see the README Document at ftp://hydro1.sci.gsfc.nasa.gov/data/s4pa/GLDAS_V1/README.GLDAS.pdf.        [ This document was provided by NASA's Global Change Master Directory. For more information on the source of this metadata please visit http://gcmd.nasa.gov/r/geoss/[GCMD]GES_DISC_GLDAS_NOAH025_M_V001 ]",Author Acknowledgment and  credits 
